小时,温度,风向,风级,降水量,相对湿度,空气质量
16,24.7,西北风,1,0,44,
15,25.1,北风,1,0,37,50
14,26.1,北风,1,0,36,55
13,25.4,东北风,1,0,39,65
12,24.9,北风,1,0,49,72
11,25.0,东北风,1,0,51,68
10,23.9,东北风,1,0,65,70
09,22.0,西风,1,0,73,67
08,19.3,西北风,0,0,89,60
07,18.1,西北风,0,0,90,59
06,17.7,北风,0,0,89,57
05,17.8,北风,0,0,88,57
04,17.9,北风,0,0,86,
03,18.1,北风,0,0,85,56
02,18.3,北风,0,0,84,54
01,18.6,北风,0,0,81,54
00,18.9,西风,0,0,81,54
23,19.2,北风,0,0,80,54
22,19.6,北风,0,0,76,52
21,20.1,北风,0,0,74,49
20,20.6,西风,1,0,72,44
19,21.4,东风,1,0,69,42
18,22.3,北风,1,0,64,46
17,23.5,东北风,1,0,58,53
16,24.7,东北风,1,0,52,55
